Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      2.51     0.00      889     0.00     0.00  sObject::parent() const
  0.00      2.51     0.00      852     0.00     0.00  tType::operator=(tType const&)
  0.00      2.51     0.00      830     0.00     0.00  std::_List_const_iterator<sObject*>::operator!=(std::_List_const_iterator<sObject*> const&) const
  0.00      2.51     0.00      786     0.00     0.00  std::_List_const_iterator<sObject*>::operator++()
  0.00      2.51     0.00      702     0.00     0.00  tValue::delpointer()
  0.00      2.51     0.00      702     0.00     0.00  tValue::ord() const
  0.00      2.51     0.00      702     0.00     0.00  tValue::basetype() const
  0.00      2.51     0.00      670     0.00     0.00  tValue::~tValue()
  0.00      2.51     0.00      556     0.00     0.00  sList<sDef>::next(void*&) const
  0.00      2.51     0.00      538     0.00     0.00  tType::tType(tType const&)
  0.00      2.51     0.00      518     0.00     0.00  sObject::sObject(unsigned int)
  0.00      2.51     0.00      518     0.00     0.00  sObject::~sObject()
  0.00      2.51     0.00      456     0.00     0.00  sObject::setParent(sObject*)
  0.00      2.51     0.00      455     0.00     0.00  tType::operator=(BaseType)
  0.00      2.51     0.00      376     0.00     0.00  sDef::type() const
  0.00      2.51     0.00      374     0.00     0.00  sObject::isValueDef() const
  0.00      2.51     0.00      374     0.00     0.00  sQuOpDef::object() const
  0.00      2.51     0.00      369     0.00     0.00  sQuFunDef::object() const
  0.00      2.51     0.00      367     0.00     0.00  SymTab::getentry(SymTable::entry*, std::string const&) const
  0.00      2.51     0.00      367     0.00     0.00  sObject::isDef() const
  0.00      2.51     0.00      357     0.00     0.00  tValue::tValue()
  0.00      2.51     0.00      325     0.00     0.00  SymTab::put(sDef*, tValue const&)
  0.00      2.51     0.00      322     0.00     0.00  tValue::assign(tValue const&)
  0.00      2.51     0.00      312     0.00     0.00  sDef::sDef(tType const&, std::string*)
  0.00      2.51     0.00      312     0.00     0.00  sDef::~sDef()
  0.00      2.51     0.00      295     0.00     0.00  sObject::isFunctDef() const
  0.00      2.51     0.00      290     0.00     0.00  tValue::tValue(tValue const&)
  0.00      2.51     0.00      276     0.00     0.00  SymTab::putentry(SymTable::entry*, SymTable::entry*)
  0.00      2.51     0.00      269     0.00     0.00  sList<sDef>::append(sDef*)
  0.00      2.51     0.00      265     0.00     0.00  SymTab::getRef(std::string const&, ObjType*) const
  0.00      2.51     0.00      263     0.00     0.00  sArgDef::sArgDef(tType const&, std::string*)
  0.00      2.51     0.00      263     0.00     0.00  sArgDef::~sArgDef()
  0.00      2.51     0.00      263     0.00     0.00  sArgDef::~sArgDef()
  0.00      2.51     0.00      263     0.00     0.00  sObject::typecheck(SymTable*, SymTable*)
  0.00      2.51     0.00      263     0.00     0.00  tType::isQuReg() const
  0.00      2.51     0.00      255     0.00     0.00  sObject::isRoutDef() const
  0.00      2.51     0.00      177     0.00     0.00  sObject::setFlag(ObjFlag, int)
  0.00      2.51     0.00      171     0.00     0.00  sObject::def() const
  0.00      2.51     0.00      171     0.00     0.00  sObject::isSet(ObjFlag) const
  0.00      2.51     0.00      139     0.00     0.00  SymTab::getDef(std::string const&) const
  0.00      2.51     0.00      126     0.00     0.00  std::_List_iterator<sObject*>::_List_iterator(std::__detail::_List_node_base*)
  0.00      2.51     0.00      122     0.00     0.00  tType::isQuExpr() const
  0.00      2.51     0.00      111     0.00     0.00  sExpr::settype(tType const&)
  0.00      2.51     0.00       98     0.00     0.00  sExpr::type()
  0.00      2.51     0.00       97     0.00     0.00  sList<sDef>::first(void*&) const
  0.00      2.51     0.00       96     0.00     0.00  sExpr::~sExpr()
  0.00      2.51     0.00       92     0.00     0.00  quBaseState::newsubstring(int, int)
  0.00      2.51     0.00       88     0.00     0.00  SymTable::SymTable()
  0.00      2.51     0.00       88     0.00     0.00  SymTable::~SymTable()
  0.00      2.51     0.00       88     0.00     0.00  std::_List_const_iterator<sObject*>::_List_const_iterator(std::__detail::_List_node_base const*)
  0.00      2.51     0.00       85     0.00     0.00  sVarDef::object() const
  0.00      2.51     0.00       84     0.00     0.00  __gnu_cxx::new_allocator<sObject*>::new_allocator()
  0.00      2.51     0.00       84     0.00     0.00  __gnu_cxx::new_allocator<sObject*>::~new_allocator()
  0.00      2.51     0.00       84     0.00     0.00  std::_List_base<sObject*, std::allocator<sObject*> >::_M_get_Tp_allocator() const
  0.00      2.51     0.00       84     0.00     0.00  std::_List_base<sObject*, std::allocator<sObject*> >::_M_get_Node_allocator() const
  0.00      2.51     0.00       84     0.00     0.00  std::allocator<sObject*>::allocator<std::_List_node<sObject*> >(std::allocator<std::_List_node<sObject*> > const&)
  0.00      2.51     0.00       84     0.00     0.00  std::allocator<sObject*>::~allocator()
  0.00      2.51     0.00       84     0.00     0.00  std::list<sObject*, std::allocator<sObject*> >::begin()
  0.00      2.51     0.00       84     0.00     0.00  sObject** std::__addressof<sObject*>(sObject*&)
  0.00      2.51     0.00       78     0.00     0.00  SymTab::SymTab(int)
  0.00      2.51     0.00       78     0.00     0.00  SymTab::~SymTab()
  0.00      2.51     0.00       78     0.00     0.00  sStmtList::object() const
  0.00      2.51     0.00       75     0.00     0.00  sExpr::sExpr()
  0.00      2.51     0.00       74     0.00     0.00  sObject::isExtern() const
  0.00      2.51     0.00       68     0.00     0.00  bitvec::qnot()
  0.00      2.51     0.00       64     0.00     0.00  tValue::type() const
  0.00      2.51     0.00       61     0.00     0.00  quState::newclone()
  0.00      2.51     0.00       58     0.00     0.00  sProcDef::object() const
  0.00      2.51     0.00       56     0.00     0.00  sVar::id() const
  0.00      2.51     0.00       49     0.00     0.00  SymTab::deltree(SymTable::entry*)
  0.00      2.51     0.00       48     0.00     0.00  sConstDef::object() const
  0.00      2.51     0.00       47     0.00     0.00  quState::quState(int)
  0.00      2.51     0.00       46     0.00     0.00  quSubState::quSubState(int)
  0.00      2.51     0.00       46     0.00     0.00  quState::~quState()
  0.00      2.51     0.00       45     0.00     0.00  quSubState::~quSubState()
  0.00      2.51     0.00       45     0.00     0.00  quSubString::newsubstring(int, int)
  0.00      2.51     0.00       45     0.00     0.00  quSubString::~quSubString()
  0.00      2.51     0.00       45     0.00     0.00  quSubString::~quSubString()
  0.00      2.51     0.00       45     0.00     0.00  sVar::typecheck(SymTable*, SymTable*)
  0.00      2.51     0.00       45     0.00     0.00  sVar::sVar(std::string*)
  0.00      2.51     0.00       45     0.00     0.00  sVar::~sVar()
